country,issue,id,value,value_formatted,end_date_formatted,description,start_date_formatted
South Africa,military,,ambiguous,Ambiguous,"January 1, 1989","Between these time frames, the military often sent homosexual soldiers to psychiatric hospitals for shock therapy and, in some cases, sexual reassignment surgeries. Between 1967 and 1991, all white males over the age of 16 were conscripted in South Africa","January 1, 1971"
South Africa,blood,41,Banned (6-month deferral),Banned (6-month deferral),"May 1, 2014",,"November 1, 2007"
South Africa,age-of-consent,,ambiguous,Ambiguous,"December 16, 2007","Section 14 of the Sexual Offences Act 23 of 1957, as inserted by the Immorality Amendment Act 2 of 1988, set the age of consent for gay and lesbian sex at 19, as opposed to 16 for straight sex. However, in the case of Geldenhuys v National Director of Public Prosecutions and Others the Constitutional Court found this discrimination to be unconstitutional, and set 16 as the uniform age of consent retroactively to 27 April 1994.","April 27, 1994"
South Africa,age-of-consent,28,Unequal,Unequal,"April 27, 1994","Section 14 of the Sexual Offences Act 23 of 1957, as inserted by the Immorality Amendment Act 2 of 1988, set the age of consent for gay and lesbian sex at 19, as opposed to 16 for straight sex. Gay male sex was in any case illegal for all ages.","March 4, 1988"
South Africa,age-of-consent,28,Unequal,Unequal,"March 4, 1988","Even though gay male sex was illegal for all ages, section 14 of the Immorality Act 23 of 1957, as inserted by the Immorality Amendment Act 57 of 1969, set the age of consent for gay male sex at 19, as opposed to 16 for straight sex. There was no age of consent for lesbian sex.","May 21, 1969"
Spain,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"January 1, 1979","The Vagrants and Common Delinquents Law (Ley de Vagos y Maleantes) was modified under the regime of Francisco Franco to prohibit homosexual acts, with a penalty of imprisonment. In 1970 the Law on Danger and Social Rehabilitation (Ley Sobre Peligrosidad y Rehabilitación Social) was introduced that further enforced the prohibition and specified a prison term of up to 5 years.","January 1, 1954"
Spain,marriage,9,Other type of partnership,Other type of partnership,"July 2, 2005","The Ley de Arrendamientos Urbanos (Urban Leasing Law) was passed in 1994, allowing registered cohabitation for same-sex couples which granted some of the rights previously reserved for married couples.","January 1, 1994"
Spain,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","December 22, 2022","Changing your legal gender does not require surgery, however, it does require proof of some form of medical treatment for a period of two years.","November 8, 2006"
Spain,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,"December 22, 2022",Spain does not recognise non-binary gender identities. Proposed legislation that would have provided recognition was rejected in 2021.,
Spain,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"June 30, 2022","Ley Orgánica núm. 10/1995, de 23 de noviembre, del Código Penal.","November 23, 1995"
Spain,conversion-therapy,,varies,Varies by Region,"December 22, 2022",Only in Madrid and Valencia. Nationwide Pending.,
Sri Lanka,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 9, 2018","8-14 years in prison and fine under Section 365 and under article 365 A. Not enforced. Just got ruled unconstitutional in India on June 17, 2018.","January 1, 1885"
Sri Lanka,marriage,13,Unrecognized,Unrecognized,"September 2, 2018","In August 23, 2013 Sri Lanka Had its first gay marriage. Homosexuality is currently illegal. Civil Union legalization pending.","January 1, 1885"
Sri Lanka,discrimination,,ambiguous,Ambiguous,"January 1, 2020","In January 2017, cabinet members of the Sri Lankan government agreed to update their Human Rights Action Plan with an addendum that bans discrimination against someone based on his or her sexual orientation.",
Sudan,homosexuality,35,Illegal (death penalty as punishment),Illegal (death penalty as punishment),"July 1, 2020",Homosexuality under the third conviction can result in the death penalty. This was later removed in 2020 following the revolution.,"January 1, 1991"
Suriname,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"February 1, 2023",Required to be legalized under 2018 IACHR ruling. Gay marriage and Gay Unions pending. Under 2018 ,
Suriname,discrimination,20,No protections,No protections,"January 1, 2015",No protections.,"November 25, 1975"
Sweden,marriage,33,Civil unions,Civil unions,"May 1, 2009",,"January 1, 1995"
Sweden,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","January 9, 2013",Changes of gender were only legally recognised if the individual had undergone sterilisation.,"July 1, 1972"
Sweden,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","September 5, 2017",See article below.,"July 1, 1972"
Sweden,discrimination,32,Illegal in some contexts,Illegal in some contexts,"January 1, 2009",Discrimination on the grounds of sexual orientation was made unlawful through inclusion in the provisions of the Swedish Penal Code.,"January 1, 1987"
Sweden,blood,40,Banned (1-year deferral),Banned (1-year deferral),"May 1, 2021",Not all clinics/hospitals follow this law.,"September 19, 2013"
Sweden,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"September 19, 2013",MSMs are not allowed to donate blood.,
Switzerland,homosexuality,1,Legal,Legal,"June 20, 1991","The Swiss Penal Code introduced in 1942 allowed same sex acts between adults (above 20 years old), but punished homosexual intercourse with people between 16 and 20 years old (while allowing heterosexual acts)","January 1, 1942"
Switzerland,marriage,33,Civil unions,Civil unions,"September 26, 2021","Swiss Registered Partnership is a Civil Union that grants equal rights to Marriage but differs on three points: access to Fertility treatment, Adoption and facilitated Swiss naturalisation, this last one being discussed actually in Swiss parliament. ILGA states that Registered Partnership in Switzerland is «Equal/almost equal substitute nationally recognized» to Marriage. ","January 1, 2007"
Switzerland,marriage,33,Civil unions,Civil unions,"June 22, 2018",Gay Marriage comes into effect in the next couple years.,"January 1, 2007"
Switzerland,adoption,6,Step-child adoption only,Step-child adoption only,"June 22, 2018",Step child and single options since 2018. Full legalization pending. It will become legal when gay marriage becomes legal.,"January 1, 2018"
Syria,homosexuality,,ambiguous,Ambiguous,,Imprisonment is almost never enforced by regime due to police corruption,
Syria,marriage,13,Unrecognized,Unrecognized,"September 9, 2018","In Kurdistan, Syria, foreign same sex marriage recognized under EU law.","June 22, 1949"
Syria,discrimination,20,No protections,No protections,"September 10, 2018",None exist according to the 2016 ILGA lgbt rights report. ,"April 22, 1964"
Taiwan,marriage,13,Unrecognized,Unrecognized,"May 23, 2019",Taiwan was the firs country in the Asia-Pacific region to consider legalizing same-sex marriage but the legislation stalled in the legislature.,"January 1, 2003"
Taiwan,changing-gender,,ambiguous,Ambiguous,"September 24, 2021","The decision was the result of a lawsuit filed by Xiao E, who was denied the right to change her gender on her national ID card. <br />
<br />
Under the archaic legislation, transgender people were required to surgically remove their reproductive organs in order to legally change their gender. <br />
<br />
The Taipei High Administrative Court ruled the requirement was unconstitutional on Thursday (23 September). <br />
<br />
They also cited that the plaintiff had provided the necessary requirements to undergo the process of legally changing her name without being subjected to surgery. <br />
<br />
Unfortunately, this ruling will only effect Xiao E. Other trans individuals looking to legally change their gender – without “proof of surgery” – will have to wait for the regulations to be revised or pursue legal action.","September 23, 2021"
Taiwan,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","September 10, 2018",Not required since 2015. Missing non binary options on documents.,"December 9, 2013"
Taiwan,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","December 9, 2013",Transgender citizens are permitted to change their legal gender in Taiwan provided they undergo gender re-assignment surgery.. In 2008 the Taiwanese Health Department announced it would recommend that female to male transexuals would no longer be required,"January 1, 2008"
Taiwan,adoption,6,Step-child adoption only,Step-child adoption only,"January 13, 2022",The same-sex marriage law (that passed the Legislative Yuan in May 2019) grants married same-sex couples the right to adopt children genetically related to one of the partners.,"May 24, 2019"
Taiwan,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"May 1, 2018","Gay, lesbian, bisexual, and other ""high risk HIV"" groups are banned from donating blood in Taiwan.","January 1, 2001"
Tajikistan,discrimination,20,No protections,No protections,"September 7, 2018",None exist.,"December 1, 1994"
Tanzania,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"September 8, 2018",5- 30 years in prison and fine. 5-25 years in Zanzibar. Rarely enforced.,"July 1, 2008"
Thailand,discrimination,19,Illegal,Illegal,"July 20, 2018",Under the Revision of the Thai Criminal Code.,"January 26, 2015"
Thailand,military,18,Illegal,Illegal,"January 1, 2005",Between 1954 and 2005 homosexuality was considered a mental disorder and gay men were prohibited from serving.,"January 1, 1954"
Togo,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 1, 2018","1-3 years in prison ; fine between 100,000 and 500,000 CFA ( US 170- 870 dollars) Not enforced. ","August 13, 1980"
Trinidad and Tobago,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"May 18, 2015","Anal intercourse between two consenting male adults is punishable by twenty-five (25) years imprisonment.<br />
Anal intercourse committed by a minor is punishable by five (5) years imprisonment.<br />
Serious indecency between two adults of the same sex is punishable by five years imprisonment. (""An act of “serious indecency” is an act, other than<br />
sexual intercourse (whether natural or unnatural), by a person<br />
involving the use of the genital organ for the purpose of arousing<br />
or gratifying sexual desire."")","November 11, 1986"
Trinidad and Tobago,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"September 11, 2013",,
Trinidad and Tobago,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"May 17, 2015","Most offenses still in effect as per the 1986 law. However, the anal intercourse provision have been removed.",
Trinidad and Tobago,adoption,5,Single only,Single only,"September 7, 2018",Homosexuality got legalized in 2018. No laws in place for same sex couples.,"June 13, 1947"
Trinidad and Tobago,blood,25,Legal,Legal,"September 19, 2018",Not banned as far as I know.,"January 1, 2017"
Tunisia,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 6, 2018",Punishment of 2- 3 years in prison. not enforced. Decriminalization pending. Backed by Tunisian Prime Minister. Included in the Human peace accord. It is under the reform by the Tunisian Commission.,"December 22, 2015"
Tunisia,homosexuality,34,"Male illegal, female uncertain","Male illegal, female uncertain","July 4, 2015",3 years imprisonment,"January 1, 1913"
Tuvalu,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","May 18, 2018",Men can receive up to 14 years in prison.,
Turkey,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","August 9, 1858",It was illegal in Ottoman Empire until 1858. Oldest finding about banning homosexualty in Ottoman Empire were from 1515.,"January 1, 1515"
Turkey,homosexuality,35,Illegal (death penalty as punishment),Illegal (death penalty as punishment),"January 1, 1515","Following the expansion of the Mongol Empire, the Turks were to a certain extent affiliated with the ruling nation. The social organization of Mongol and Turkish tribes was based upon clan customs, its inner ways and habits were regulated by customary law.<br />
<br />
In the 13 century, Chingis Kahn established the Yasa, or Code of Laws and Ordinances, which his successors continued to rule by. Although some scholars suspect Chingis Khan's Yasa only codified existing customary law others believe it served to supplement and fill any gaps left by customary law, especially in criminal law.<br />
<br />
According to fragments from the Egyptian Historian Makrizi, sodomy was punishable by death as an offense against religion, morals, and established customs.<br />
<br />
Adultery was similarly defined as a crime punishable by death. Marriage was demarcated by a law that ordained ""that the man should buy his wife"" and hence prescribed strict gender roles on family operation.",
Turkey,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 8, 2018",Civil Unions pending. Under review by a Turkish high court to see if spouses are entitled for visas.,"October 29, 1923"
Turkey,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","November 30, 2017","Legal, but requires surgery and sterilization. ","May 10, 2015"
Turkey,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","November 30, 2017","Never was banned, officially legalized in 1988. In Turkey, the minimum age required to get sex reassignment surgery is 18. In order for one to legally change their gender, the surgery must be conducted at a state hospital.","May 4, 1988"
Turkey,changing-gender,,ambiguous,Ambiguous,"May 10, 2015",The status is unknown.,
Turkey,discrimination,32,Illegal in some contexts,Illegal in some contexts,"November 2, 2016","Hate speech based on sexual orientation was included in the decisions of the Constitutional Court for the first time. The Constitutional Court stated that calling homosexuals ""deviants"" or ""perverts"" constitutes hate speech.","July 16, 2014"
Turkey,discrimination,20,No protections,No protections,"July 16, 2014","In Turkey, there are currently no laws in place to prevent discrimination against LGBT individuals in the areas of work, education, housing, health care, and public accommodations.",
Turkey,discrimination,20,No protections,No protections,"July 16, 2014",There are not any protections for LGBT Turks. There is not any information about when this policy started.,
Turkey,employment-discrimination,43,No protections,No protections,"September 24, 2018",Existing laws against employment discrimination are not enforced.,
Turkey,employment-discrimination,43,No protections,No protections,"September 24, 2018","In Turkey, there are currently no laws in place to prevent discrimination against LGBT individuals in the areas of work, education, housing, health care, and public accommodations.",
Turkey,adoption,5,Single only,Single only,"September 8, 2018",No laws in place for same sex couples.,"January 1, 2015"
Uganda,homosexuality,36,Illegal (up to life in prison as punishment),Illegal (up to life in prison as punishment),"March 22, 2023","The Sexual Offences Bill (2019), first tabled in 2015, criminalises sexual activity between persons of the same gender.","May 3, 2021"
Uganda,homosexuality,34,"Male illegal, female uncertain","Male illegal, female uncertain","May 2, 2021","Previous bill was struck down due to a technicality rendering it unconstitutional. However, homosexual conduct is still explicitly illegal and is punishable by imprisonment.","August 1, 2014"
Uganda,homosexuality,36,Illegal (up to life in prison as punishment),Illegal (up to life in prison as punishment),"July 31, 2014","Under this bill, ""aggravated homosexuality"" is punishable by imprisonment for life. Includes provisions which make it illegal to aid homosexuality, touch with the intent of homosexuality, and promote homosexuality. Allows extradition for homosexuality-related offenses.<br />
<br />
Earlier referred to internationally as the ""Kill the Gays"" bill when first proposed on October 13, 2009, life imprisonment was substituted for the death penalty following international pressure.<br />
<br />
Prior to this bill, homosexuality was illegal under Section 145 of the penal code, punishable by up to life imprisonment.","February 24, 2014"
Uganda,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"February 24, 2014",Section 145 of the penal code indicates any carnal knowledge against nature is punishable for 7 years to life in prison.,"June 15, 1950"
Uganda,censorship,60,State-enforced,State-enforced,"March 22, 2023","In 2019, the Uganda Communications Commission adopted the Standards for General Broadcast Programming in Uganda. Article 6(5) determines that “information, themes or subplots on lifestyles such as homosexuality, lesbianism, bisexualism, transsexualism, transvestism, paedophilia and incest” should not “promote, justify or glamorize” them. Further, explicit dialogue or information concerning the above topics should not be broadcasted. In addition, Article 8.6 states that sex education programmes should not encourage or promote “unnatural sex acts”.","January 1, 2019"
Ukraine,discrimination,20,No protections,No protections,"November 12, 2015",No protections afforded,"June 28, 1996"
Ukraine,adoption,7,Illegal,Illegal,"October 31, 2016","Same-sex marriage is not legal, and only married couples can adopt.",
United Arab Emirates,homosexuality,34,"Male illegal, female uncertain","Male illegal, female uncertain","October 9, 2018","Article 354 of the Federal Penal Code could be Imprisonment,fines,  floggings,and deportation for foreigners<br />
In Abu Dhabi Article 80 of the Penal Code punishable by imprisonment of up to 14 years. In Dubai Article 177 of the Penal Code  imposes imprisonment of up to 10 years . Not enforced .If you a travelers or foreigner you will be in jail followed by deportation or directed deportation ","December 8, 1987"
United Arab Emirates,marriage,13,Unrecognized,Unrecognized,"December 8, 1987",Homosexuality is currently illegal.,
United Arab Emirates,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","September 5, 2018","In 2016, the UAE amended its federal medical liability law to permit sex reassignment surgery, but only in certain circumstances. The law specifies that these procedures should only be permitted for intersex individuals and not for purely psychiatric ones.<br />
The law also states that surgeons who operate on people who don't fit the requirements set forth by the same statute would be held criminally liable.","December 28, 2016"
United Arab Emirates,discrimination,20,No protections,No protections,"September 11, 2018",LGBT Arabs are showing themselves online for the first time.,"December 2, 1971"
United Kingdom,homosexuality,1,Legal,Legal,"November 30, 2000","**LEGAL, WITH RESTRICTIONS**<br />
The Sexual Offences Act of 1967 legalized sexual acts between two men who were 21 or older (Excluding men serving in the military), but it placed new restrictions on sex for men who have sex with men.  The act prohibited sex in places where a third party was likely to be present.","July 27, 1967"
United Kingdom,homosexuality,36,Illegal (up to life in prison as punishment),Illegal (up to life in prison as punishment),"January 1, 1967","The Labouchere Amendment passed making sex between two men a gross indecency, punishable by imprisonment.  Female homosexuality and sexual acts were not addressed in the law, and therefore, they technically would have been legal, though the law often applied the law towards women.","January 1, 1885"
United Kingdom,homosexuality,35,Illegal (death penalty as punishment),Illegal (death penalty as punishment),"January 1, 1861","Under the 1533 Buggery Act, homosexuality in the UK was punishable by death until 1861.","January 1, 1533"
United Kingdom,marriage,,varies,Varies by Region,"June 12, 2020","Came into force as of March 29th, 2014 . Same-sex marriage is still unrecognized fully in some parts of the UK (such as Northern Ireland).","July 17, 2013"
United Kingdom,marriage,8,Legal,Legal,"January 1, 2014",The legislation allowed religious organisations to opt in to marry same-sex couples should they wish to do so and protected religious organisations and their representatives from successful legal challenge if they did not wish to marry same-sex couples.,"July 17, 2013"
United Kingdom,marriage,33,Civil unions,Civil unions,"July 16, 2013","The Civil Partnership Act (2004).<br />
<br />
Under the Act, same-sex couples can register a civil partnership, which has almost the same legal effects, rights and obligations as marriage does for mixed-sex couples. For that reason, civil partnership is sometimes called ‘gay marriage’. However, legally, it is not marriage, but is a separate, segregated system","December 5, 2005"
United Kingdom,censorship,55,Other punishment,Other punishment,"November 17, 2003","Section 28 of the Local Government Act 1988 stated that local authorities could not ""intentionally promote homosexuality or publish material with the intention of promoting homosexuality"" or ""promote the teaching in any maintained school of the acceptability of homosexuality as a pretended family relationship"". The law did not create a criminal offence, leaving staff to fear losing their jobs if they breached the rules. ","March 24, 1988"
United Kingdom,military,18,Illegal,Illegal,"January 11, 2000","The Sexual Offences Act of 1967 explicitly made serving in the military as an openly gay/bi man illegal.  Prior to this act, it was illegal for a man to have sex with another man entirely, and therefore, it was also illegal.","January 1, 1967"
United Kingdom,military,18,Illegal,Illegal,"January 1, 1967","Same-sex sexual activity was illegal for men, and therefore, these individuals were not permitted in the military.",
United Kingdom,blood,52,Banned (3-month deferral),Banned (3-month deferral),"June 13, 2021","In 2017, the 3-month blood donation rule came into force at blood donation centres in Scotland in November, and in early 2018 in England.","January 1, 2017"
United Kingdom,blood,40,Banned (1-year deferral),Banned (1-year deferral),"November 1, 2017", ,"January 1, 2011"
United Kingdom,conversion-therapy,49,Not banned,Not banned,"January 1, 2017","Conversion therapies are reportedly a major issue in the UK, but it's rarely discussed. A ban is being discussed by British leaders.",
United Kingdom,age-of-consent,28,Unequal,Unequal,"July 31, 2001",A bill was signed to reduce the age of consent for men who have sex with men from 21 to 18.,"January 1, 1994"
United Kingdom,age-of-consent,28,Unequal,Unequal,"January 1, 1994","The Sexual Offenses Act made sex between two men legal in 1967*, but it was only legal between consenting men who were 21 or older, whereas the age of consent for different sex couples was 16.<br />
<br />
*Sex between more than two men remained illegal until later.","January 1, 1967"
United Kingdom,age-of-consent,28,Unequal,Unequal,"January 1, 1967","Sexual activities between two or more men were illegal prior to 1967, and therefore, the age of consent was irrelevant; it was all illegal.",
United States,homosexuality,,varies,Varies by Region,"June 26, 2003","Before Lawrence v. Texas, some states had already decriminalized sodomy. The first state was Illinois in 1962.","January 1, 1962"
United States,marriage,,varies,Varies by Region,"June 26, 2015","Legal status is extremely variable based on the individual state.  Recognized at a Federal level, but not in all states, for all intents and purposes except Social Security.  Social Security is based on the state of residence's recognition of marital status.","May 14, 2004"
United States,censorship,56,No censorship,No censorship,"October 28, 2021","Freedom of Speech is widely talked about<br />
<br />
Pride Parades happen every year",
United States,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","September 6, 2018",Under federal law. Pending nationwide. Non binary options on documents pending.,"January 1, 2013"
United States,discrimination,32,Illegal in some contexts,Illegal in some contexts,"June 14, 2020","In all Federal positions, discrimination based on sexual orientation is against the law in instances related to work and employment.  In non-federal government jobs, it is based on the state's laws as no federal protections currently exist for non-employees.  Additionally, even federal employees could face discrimination unrelated to work in areas of life such as housing, health care, etc.  In fact, many groups are advocating the repeal of protections or the introduction of laws to permit discrimination.","January 1, 2011"
United States,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"October 9, 2020","As of June 15, 2020, all persons working for employers that employ more than 15 people are protected from discrimination based solely on the grounds of sexual orientation or gender identity via the Supreme Court's landmark decision in Bostock v. Clayton County, Georgia","June 15, 2020"
United States,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"June 15, 2020","The Equal Employment Opportunity Commission has ruled that “[A]llegations of discrimination on the basis of sexual orientation necessarily state a claim of discrimination on the basis of sex”, and are barred by the Civil Rights Act of 1964. This ruling applies at both the state and federal level.<br />
<br />
Furthermore, the Equal Employment Opportunity Commission (EEOC) ruled on April 20, 2012 that an employer who discriminates against an employee or applicant on the basis of the person’s gender identity is violating the prohibition on sex discrimination contained in Title VII of the Civil Rights Act of 1964.<br />
<br />
","July 16, 2015"
United States,employment-discrimination,,na,N/A,"July 16, 2015","The Equal Employment Opportunity Commission (EEOC) ruled on April 20, 2012 that an employer who discriminates against an employee or applicant on the basis of the person’s gender identity is violating the prohibition on sex discrimination contained in Title VII of the Civil Rights Act of 1964.","April 20, 2012"
United States,adoption,3,Legal,Legal,"December 1, 1986",Under Federal law. Almost Nationwide. ,"April 1, 1986"
United States,military,,varies,Varies by Region,"February 26, 2021","Biden administration overturns Trump administration's policy against transgender people serving in the military, however, Texas govt. Greg Abbot kept the ban in place for his state.","January 25, 2021"
United States,military,50,"Lesbians, gays, bisexuals permitted, transgender people banned","Lesbians, gays, bisexuals permitted, transgender people banned","January 25, 2021","New policy goes into effect barring individuals with a ""condition"" known as ""gender dysphoria.""","April 11, 2019"
United States,military,50,"Lesbians, gays, bisexuals permitted, transgender people banned","Lesbians, gays, bisexuals permitted, transgender people banned","April 11, 2019","Transgender individual can serve, however, the policy ""will require an individual to have completed any medical treatment that their doctor has determined is necessary in connection with their gender transition, and to have been stable in their preferred gender for 18 months, as certified by their doctor, before they can enter the military.""","January 1, 2018"
United States,military,16,Legal,Legal,"January 1, 2018",The US Army repealed the ban to serve for openly transgender individuals,"July 1, 2016"
United States,military,50,"Lesbians, gays, bisexuals permitted, transgender people banned","Lesbians, gays, bisexuals permitted, transgender people banned","July 1, 2016","Lesbian, gay, and bisexual individuals are permitted to serve openly in the military, however, transgender individuals are still banned.","September 20, 2011"
United States,military,17,"Don't Ask, Don't Tell","Don't Ask, Don't Tell","September 20, 2011","Don't Ask, Don't Tell was the historic compromise signed by President Bill Clinton authorizing people who are LGBT to serve in the military provided they didn't disclose sexuality.  The law also removed the ability for others in the military from asking for a service member's orientation.","December 21, 1993"
United States,blood,40,Banned (1-year deferral),Banned (1-year deferral),"April 1, 2020","After a series of recommendations, the FDA has moved to a 12 months deferral.","December 21, 2015"
United States,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"December 21, 2015","Though the deferral impacts all MSMs who have had sex with a man since 1977, the policy did not go into effect until 1983.  The policy applied retroactively to 1977.","January 1, 1983"
Uruguay,blood,40,Banned (1-year deferral),Banned (1-year deferral),"December 16, 2020","Gay and bisexual men could donate blood in Uruguay, provided they hadn't had sex for 12 months.",
Uzbekistan,discrimination,20,No protections,No protections,"September 6, 2018",Discrimination is systemic. As well homosexuality is currently illegal.,"December 8, 1992"
Venezuela,discrimination,19,Illegal,Illegal,"June 7, 2018",All discrimination is illegal.,"April 30, 2012"
Venezuela,military,17,"Don't Ask, Don't Tell","Don't Ask, Don't Tell","March 16, 2023",The military will not permit service to open LGBT members ,
Vietnam,marriage,13,Unrecognized,Unrecognized,"September 10, 2018",Vietnamese government said that they are trying to get a bill passed. Gay marriage pending and Gay Union pending.,"November 12, 2013"
Vietnam,marriage,15,Not legal,Not legal,"November 11, 2013",The marriage law explicitly prohibits marriage between same-sex couples,"June 9, 2000"
Vietnam,changing-gender,22,Illegal,Illegal,"November 23, 2015","Legally, one can only change the gender when he/she is very young and has condition that ""confuses"" the actual gender of the child. Once the sexual organ is ""fully developed"", a citizen can't change his/her gender.","August 5, 2008"
Vietnam,adoption,5,Single only,Single only,"September 9, 2018",Legalization pending.,"January 1, 1992"
Vietnam,conversion-therapy,49,Not banned,Not banned,"August 3, 2022",Not banned,
Western Sahara,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"September 8, 2018",Up to 3 years in prison. Not enforced.,"January 15, 1944"
Yemen,marriage,13,Unrecognized,Unrecognized,"September 6, 2018",Same sex activity is illegal.,"January 1, 1994"
Zambia,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 10, 2018",7-14 years to life in prison under unnatural/indecent acts. Not enforced.,"November 1, 1931"
Zimbabwe,marriage,13,Unrecognized,Unrecognized,"September 9, 2018",No laws in place.,"January 1, 1964"
