---
title: Causes of Death in France from 1925 to 1999
source: The data is made available by INED <www.ined.fr> at
  <https://www.ined.fr/en/everything_about_population/data/online-databases/death_causes_since_1925/>
  The original data authors are Jacques Vallin <vallin@ined.fr> and France
  Meslé <mesle@ined.fr>.
variables:
    year : period calendar year
    sex  : -
    age  : age groups in years [a, b]
    cod  : cause of death category (ICD-9 code)
    mx   : death rate
note: The data was downloaded in June 2014 in the form of `html` tables made
  availabe by the INED web interface. It was then converted into `.csv` format
  and aggregated into the current form.
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
date: 2015-08-19
...

year,sex,age,cod,mx
1982,total,25-29,290*-319*,1.56
1983,total,25-29,290*-319*,1.86
1984,total,25-29,290*-319*,2.83
1985,total,25-29,290*-319*,2.37
1986,total,25-29,290*-319*,2.67
1987,total,25-29,290*-319*,2.46
1988,total,25-29,290*-319*,3.05
1989,total,25-29,290*-319*,4.35
1990,total,25-29,290*-319*,5.77
1991,total,25-29,290*-319*,5.01
1992,total,25-29,290*-319*,7.05
1993,total,25-29,290*-319*,7.11
1994,total,25-29,290*-319*,6.6
1995,total,25-29,290*-319*,7.11
1996,total,25-29,290*-319*,6.08
1997,total,25-29,290*-319*,3.17
1998,total,25-29,290*-319*,2.32
1999,total,25-29,290*-319*,3.32
1925,total,30-34,290*-319*,3.73
1926,total,30-34,290*-319*,3.91
1927,total,30-34,290*-319*,3.86
1928,total,30-34,290*-319*,3.82
1929,total,30-34,290*-319*,4.03
1930,total,30-34,290*-319*,4
1931,total,30-34,290*-319*,3.36
1932,total,30-34,290*-319*,3.46
1933,total,30-34,290*-319*,3.25
1934,total,30-34,290*-319*,4.67
1935,total,30-34,290*-319*,5.56
1936,total,30-34,290*-319*,5.77
1937,total,30-34,290*-319*,6.88
1938,total,30-34,290*-319*,6.75
1939,total,30-34,290*-319*,4.82
1940,total,30-34,290*-319*,3.61
1941,total,30-34,290*-319*,4.81
1942,total,30-34,290*-319*,2.63
1943,total,30-34,290*-319*,2.3
1944,total,30-34,290*-319*,3.64
1945,total,30-34,290*-319*,2.81
1946,total,30-34,290*-319*,1.74
1947,total,30-34,290*-319*,2.57
1948,total,30-34,290*-319*,4.39
1949,total,30-34,290*-319*,4.02
1950,total,30-34,290*-319*,3.43
1951,total,30-34,290*-319*,3.77
1952,total,30-34,290*-319*,5.13
1953,total,30-34,290*-319*,6.62
1954,total,30-34,290*-319*,6.85
1955,total,30-34,290*-319*,7.52
1956,total,30-34,290*-319*,8.63
1957,total,30-34,290*-319*,7.59
1958,total,30-34,290*-319*,4.86
1959,total,30-34,290*-319*,5.48
1960,total,30-34,290*-319*,5.71
1961,total,30-34,290*-319*,6.32
1962,total,30-34,290*-319*,6.2
1963,total,30-34,290*-319*,6.64
1964,total,30-34,290*-319*,5.64
1965,total,30-34,290*-319*,5.98
1966,total,30-34,290*-319*,3.79
1967,total,30-34,290*-319*,4.67
1968,total,30-34,290*-319*,4.44
1969,total,30-34,290*-319*,4.69
1970,total,30-34,290*-319*,5.12
1971,total,30-34,290*-319*,4.68
1972,total,30-34,290*-319*,3.92
1973,total,30-34,290*-319*,2.71
1974,total,30-34,290*-319*,2.74
1975,total,30-34,290*-319*,3.1
1976,total,30-34,290*-319*,3.78
1977,total,30-34,290*-319*,2.66
1978,total,30-34,290*-319*,3.17
1979,total,30-34,290*-319*,4.09
1980,total,30-34,290*-319*,3.52
1981,total,30-34,290*-319*,3.66
1982,total,30-34,290*-319*,3.53
1983,total,30-34,290*-319*,3.29
1984,total,30-34,290*-319*,4.01
1985,total,30-34,290*-319*,4.36
1986,total,30-34,290*-319*,4.61
1987,total,30-34,290*-319*,3.59
1988,total,30-34,290*-319*,5.24
1989,total,30-34,290*-319*,5.61
1990,total,30-34,290*-319*,5.02
1991,total,30-34,290*-319*,7.2
1992,total,30-34,290*-319*,7.38
1993,total,30-34,290*-319*,7
1994,total,30-34,290*-319*,7.78
1995,total,30-34,290*-319*,7.39
1996,total,30-34,290*-319*,6.6
1997,total,30-34,290*-319*,4.73
1998,total,30-34,290*-319*,4.78
1999,total,30-34,290*-319*,4.5
1925,total,35-39,290*-319*,4.59
1926,total,35-39,290*-319*,4.53
1927,total,35-39,290*-319*,4.37
1928,total,35-39,290*-319*,4.79
1929,total,35-39,290*-319*,5.31
1930,total,35-39,290*-319*,5.69
1931,total,35-39,290*-319*,3.57
1932,total,35-39,290*-319*,5.07
1933,total,35-39,290*-319*,4.9
1934,total,35-39,290*-319*,6.34
1935,total,35-39,290*-319*,8.28
1936,total,35-39,290*-319*,8
1937,total,35-39,290*-319*,9.3
1938,total,35-39,290*-319*,8.94
1939,total,35-39,290*-319*,8.34
1940,total,35-39,290*-319*,7.73
1941,total,35-39,290*-319*,9.07
1942,total,35-39,290*-319*,4.05
1943,total,35-39,290*-319*,4.68
1944,total,35-39,290*-319*,4.87
1945,total,35-39,290*-319*,5.04
1946,total,35-39,290*-319*,2.74
1947,total,35-39,290*-319*,4.45
1948,total,35-39,290*-319*,7
1949,total,35-39,290*-319*,6.76
1950,total,35-39,290*-319*,7.97
1951,total,35-39,290*-319*,8.52
1952,total,35-39,290*-319*,8.65
1953,total,35-39,290*-319*,12.85
1954,total,35-39,290*-319*,11.38
1955,total,35-39,290*-319*,12.58
1956,total,35-39,290*-319*,16.6
1957,total,35-39,290*-319*,13.18
1958,total,35-39,290*-319*,8.81
1959,total,35-39,290*-319*,10.54
1960,total,35-39,290*-319*,11.78
1961,total,35-39,290*-319*,10.18
1962,total,35-39,290*-319*,11.93
1963,total,35-39,290*-319*,12.5
1964,total,35-39,290*-319*,10.4
1965,total,35-39,290*-319*,11.86
1966,total,35-39,290*-319*,9.82
1967,total,35-39,290*-319*,10.33
1968,total,35-39,290*-319*,10.36
1969,total,35-39,290*-319*,10.27
1970,total,35-39,290*-319*,10.11
1971,total,35-39,290*-319*,10.7
1972,total,35-39,290*-319*,9.25
1973,total,35-39,290*-319*,6.83
1974,total,35-39,290*-319*,8.08
1975,total,35-39,290*-319*,9.16
1976,total,35-39,290*-319*,8.06
1977,total,35-39,290*-319*,7.26
1978,total,35-39,290*-319*,5.03
1979,total,35-39,290*-319*,5.87
1980,total,35-39,290*-319*,5.95
1981,total,35-39,290*-319*,5.95
1982,total,35-39,290*-319*,6.8
1983,total,35-39,290*-319*,7.29
1984,total,35-39,290*-319*,6.91
1985,total,35-39,290*-319*,8.09
1986,total,35-39,290*-319*,7.88
1987,total,35-39,290*-319*,6.85
1988,total,35-39,290*-319*,8.03
1989,total,35-39,290*-319*,8.44
1990,total,35-39,290*-319*,8.97
1991,total,35-39,290*-319*,8.08
1992,total,35-39,290*-319*,9.36
1993,total,35-39,290*-319*,10.98
1994,total,35-39,290*-319*,9.68
1995,total,35-39,290*-319*,9.73
1996,total,35-39,290*-319*,7.88
1997,total,35-39,290*-319*,7.69
1998,total,35-39,290*-319*,6.97
1999,total,35-39,290*-319*,8.12
1925,total,40-44,290*-319*,7.17
1926,total,40-44,290*-319*,7.33
1927,total,40-44,290*-319*,7.03
1928,total,40-44,290*-319*,7.61
1929,total,40-44,290*-319*,7.78
1930,total,40-44,290*-319*,9.15
1931,total,40-44,290*-319*,6.06
1932,total,40-44,290*-319*,6.09
1933,total,40-44,290*-319*,5.53
1934,total,40-44,290*-319*,7.77
1935,total,40-44,290*-319*,9.66
1936,total,40-44,290*-319*,9.51
1937,total,40-44,290*-319*,10.11
1938,total,40-44,290*-319*,13.78
1939,total,40-44,290*-319*,15.33
1940,total,40-44,290*-319*,10.9
1941,total,40-44,290*-319*,12
1942,total,40-44,290*-319*,6.48
1943,total,40-44,290*-319*,6.36
1944,total,40-44,290*-319*,7.09
1945,total,40-44,290*-319*,7.51
1946,total,40-44,290*-319*,4.25
1947,total,40-44,290*-319*,5.23
1948,total,40-44,290*-319*,9.95
1949,total,40-44,290*-319*,10.94
1950,total,40-44,290*-319*,14.99
1951,total,40-44,290*-319*,15.55
1952,total,40-44,290*-319*,15.89
1953,total,40-44,290*-319*,19.89
1954,total,40-44,290*-319*,21.25
1955,total,40-44,290*-319*,21.58
1956,total,40-44,290*-319*,27.69
1957,total,40-44,290*-319*,22.31
1958,total,40-44,290*-319*,14.95
1959,total,40-44,290*-319*,14.02
1960,total,40-44,290*-319*,16.33
1961,total,40-44,290*-319*,15.76
1962,total,40-44,290*-319*,17
1963,total,40-44,290*-319*,17.95
1964,total,40-44,290*-319*,14.15
1965,total,40-44,290*-319*,16.24
1966,total,40-44,290*-319*,15.97
1967,total,40-44,290*-319*,15.83
1968,total,40-44,290*-319*,14.98
1969,total,40-44,290*-319*,18.06
1970,total,40-44,290*-319*,14.45
1971,total,40-44,290*-319*,17.27
1972,total,40-44,290*-319*,19.01
1973,total,40-44,290*-319*,16.23
1974,total,40-44,290*-319*,13.93
1975,total,40-44,290*-319*,17.38
1976,total,40-44,290*-319*,15.39
1977,total,40-44,290*-319*,15.73
1978,total,40-44,290*-319*,12.96
1979,total,40-44,290*-319*,13.49
1980,total,40-44,290*-319*,11.76
1981,total,40-44,290*-319*,12.34
1982,total,40-44,290*-319*,13.42
1983,total,40-44,290*-319*,11.1
1984,total,40-44,290*-319*,10.99
1985,total,40-44,290*-319*,10.34
1986,total,40-44,290*-319*,10.28
1987,total,40-44,290*-319*,10.02
1988,total,40-44,290*-319*,10.73
1989,total,40-44,290*-319*,11.57
1990,total,40-44,290*-319*,10.94
1991,total,40-44,290*-319*,12.5
1992,total,40-44,290*-319*,13.43
1993,total,40-44,290*-319*,12.62
1994,total,40-44,290*-319*,12.11
1995,total,40-44,290*-319*,12.54
1996,total,40-44,290*-319*,13.17
1997,total,40-44,290*-319*,10.94
1998,total,40-44,290*-319*,11.09
1999,total,40-44,290*-319*,13.85
1925,total,45-49,290*-319*,6.14
1926,total,45-49,290*-319*,6.42
1927,total,45-49,290*-319*,6.15
1928,total,45-49,290*-319*,6.52
1929,total,45-49,290*-319*,6.95
1930,total,45-49,290*-319*,7.77
1931,total,45-49,290*-319*,5.99
1932,total,45-49,290*-319*,7.81
1933,total,45-49,290*-319*,7.14
1934,total,45-49,290*-319*,8.61
1935,total,45-49,290*-319*,11.57
1936,total,45-49,290*-319*,9.13
1937,total,45-49,290*-319*,11.31
1938,total,45-49,290*-319*,11.11
1939,total,45-49,290*-319*,9.86
1940,total,45-49,290*-319*,12.44
1941,total,45-49,290*-319*,14.98
1942,total,45-49,290*-319*,6.95
1943,total,45-49,290*-319*,6.63
1944,total,45-49,290*-319*,8.36
1945,total,45-49,290*-319*,9.9
1946,total,45-49,290*-319*,5.22
1947,total,45-49,290*-319*,8.83
1948,total,45-49,290*-319*,13.14
1949,total,45-49,290*-319*,13.78
1950,total,45-49,290*-319*,17.68
1951,total,45-49,290*-319*,19.88
1952,total,45-49,290*-319*,19.7
1953,total,45-49,290*-319*,28.68
1954,total,45-49,290*-319*,30.05
1955,total,45-49,290*-319*,31.9
1956,total,45-49,290*-319*,42.26
1957,total,45-49,290*-319*,37.36
1958,total,45-49,290*-319*,23.25
1959,total,45-49,290*-319*,25.31
1960,total,45-49,290*-319*,24.43
1961,total,45-49,290*-319*,23.58
1962,total,45-49,290*-319*,24.25
1963,total,45-49,290*-319*,24.62
1964,total,45-49,290*-319*,20.84
1965,total,45-49,290*-319*,24.06
1966,total,45-49,290*-319*,21.57
1967,total,45-49,290*-319*,20.66
1968,total,45-49,290*-319*,19.66
1969,total,45-49,290*-319*,22.63
1970,total,45-49,290*-319*,20.76
1971,total,45-49,290*-319*,21.43
1972,total,45-49,290*-319*,22.84
1973,total,45-49,290*-319*,22.96
1974,total,45-49,290*-319*,20.35
1975,total,45-49,290*-319*,26
1976,total,45-49,290*-319*,23.02
1977,total,45-49,290*-319*,22.67
1978,total,45-49,290*-319*,19.22
1979,total,45-49,290*-319*,18.33
1980,total,45-49,290*-319*,20.63
1981,total,45-49,290*-319*,22.17
1982,total,45-49,290*-319*,19.34
1983,total,45-49,290*-319*,20.64
1984,total,45-49,290*-319*,18.01
1985,total,45-49,290*-319*,17.12
1986,total,45-49,290*-319*,13.84
1987,total,45-49,290*-319*,16.09
1988,total,45-49,290*-319*,14.36
1989,total,45-49,290*-319*,15.03
1990,total,45-49,290*-319*,13.58
1991,total,45-49,290*-319*,14.77
1992,total,45-49,290*-319*,13.62
1993,total,45-49,290*-319*,15.76
1994,total,45-49,290*-319*,16.62
1995,total,45-49,290*-319*,14.33
1996,total,45-49,290*-319*,14.48
1997,total,45-49,290*-319*,15.34
1998,total,45-49,290*-319*,15.39
1999,total,45-49,290*-319*,18.71
1925,total,50-54,290*-319*,7.83
1926,total,50-54,290*-319*,8.51
1927,total,50-54,290*-319*,8.31
1928,total,50-54,290*-319*,9.35
1929,total,50-54,290*-319*,9.13
1930,total,50-54,290*-319*,11.12
1931,total,50-54,290*-319*,9.18
1932,total,50-54,290*-319*,7.65
1933,total,50-54,290*-319*,7.73
1934,total,50-54,290*-319*,9.9
1935,total,50-54,290*-319*,10.9
1936,total,50-54,290*-319*,8.9
1937,total,50-54,290*-319*,11.32
1938,total,50-54,290*-319*,12.29
1939,total,50-54,290*-319*,12.28
1940,total,50-54,290*-319*,14.27
1941,total,50-54,290*-319*,19.46
1942,total,50-54,290*-319*,11.94
1943,total,50-54,290*-319*,8.25
1944,total,50-54,290*-319*,11.24
1945,total,50-54,290*-319*,9.21
1946,total,50-54,290*-319*,6.05
1947,total,50-54,290*-319*,8.43
1948,total,50-54,290*-319*,13.88
1949,total,50-54,290*-319*,15.08
1950,total,50-54,290*-319*,20.46
1951,total,50-54,290*-319*,22.94
1952,total,50-54,290*-319*,24.17
1953,total,50-54,290*-319*,31.5
1954,total,50-54,290*-319*,31.72
1955,total,50-54,290*-319*,38.37
1956,total,50-54,290*-319*,51.09
1957,total,50-54,290*-319*,46.3
1958,total,50-54,290*-319*,28.91
1959,total,50-54,290*-319*,35.44
1960,total,50-54,290*-319*,37.05
1961,total,50-54,290*-319*,34.24
1962,total,50-54,290*-319*,35.82
1963,total,50-54,290*-319*,34.6
1964,total,50-54,290*-319*,28.95
1965,total,50-54,290*-319*,33.35
1966,total,50-54,290*-319*,30.3
1967,total,50-54,290*-319*,30.19
1968,total,50-54,290*-319*,28.71
1969,total,50-54,290*-319*,29.72
1970,total,50-54,290*-319*,24.31
1971,total,50-54,290*-319*,27.78
1972,total,50-54,290*-319*,30.42
1973,total,50-54,290*-319*,24.57
1974,total,50-54,290*-319*,26.5
1975,total,50-54,290*-319*,27.9
1976,total,50-54,290*-319*,27.89
1977,total,50-54,290*-319*,27.16
1978,total,50-54,290*-319*,26.23
1979,total,50-54,290*-319*,24.96
1980,total,50-54,290*-319*,26.31
1981,total,50-54,290*-319*,25.51
1982,total,50-54,290*-319*,29.28
1983,total,50-54,290*-319*,29.36
1984,total,50-54,290*-319*,24.56
1985,total,50-54,290*-319*,25.63
1986,total,50-54,290*-319*,27.25
1987,total,50-54,290*-319*,23.3
1988,total,50-54,290*-319*,23.87
1989,total,50-54,290*-319*,22.32
1990,total,50-54,290*-319*,19.45
1991,total,50-54,290*-319*,17.98
1992,total,50-54,290*-319*,17.08
1993,total,50-54,290*-319*,17.84
1994,total,50-54,290*-319*,20.28
1995,total,50-54,290*-319*,16.36
1996,total,50-54,290*-319*,16.61
1997,total,50-54,290*-319*,16.65
1998,total,50-54,290*-319*,18.83
1999,total,50-54,290*-319*,20.89
1925,total,55-59,290*-319*,8.98
1926,total,55-59,290*-319*,9.36
1927,total,55-59,290*-319*,9.35
1928,total,55-59,290*-319*,10.07
1929,total,55-59,290*-319*,9.78
1930,total,55-59,290*-319*,12.02
1931,total,55-59,290*-319*,9.08
1932,total,55-59,290*-319*,8.74
1933,total,55-59,290*-319*,9.05
1934,total,55-59,290*-319*,9.83
1935,total,55-59,290*-319*,10.51
1936,total,55-59,290*-319*,8.57
1937,total,55-59,290*-319*,11.29
1938,total,55-59,290*-319*,11.6
1939,total,55-59,290*-319*,11.05
1940,total,55-59,290*-319*,16.93
1941,total,55-59,290*-319*,19.3
1942,total,55-59,290*-319*,12.68
1943,total,55-59,290*-319*,9.31
1944,total,55-59,290*-319*,9.83
1945,total,55-59,290*-319*,9.74
1946,total,55-59,290*-319*,7.27
1947,total,55-59,290*-319*,9.55
1948,total,55-59,290*-319*,12.16
1949,total,55-59,290*-319*,14.71
1950,total,55-59,290*-319*,18.72
1951,total,55-59,290*-319*,23.27
1952,total,55-59,290*-319*,24.18
1953,total,55-59,290*-319*,34.74
1954,total,55-59,290*-319*,34.64
1955,total,55-59,290*-319*,40.12
1956,total,55-59,290*-319*,50.38
1957,total,55-59,290*-319*,51.15
1958,total,55-59,290*-319*,37.48
1959,total,55-59,290*-319*,41.75
1960,total,55-59,290*-319*,43.71
1961,total,55-59,290*-319*,40.3
1962,total,55-59,290*-319*,42.24
1963,total,55-59,290*-319*,45.58
1964,total,55-59,290*-319*,42.48
1965,total,55-59,290*-319*,45.13
1966,total,55-59,290*-319*,42.33
1967,total,55-59,290*-319*,42.35
1968,total,55-59,290*-319*,38.19
1969,total,55-59,290*-319*,39.83
1970,total,55-59,290*-319*,30.12
1971,total,55-59,290*-319*,36.77
1972,total,55-59,290*-319*,35.62
1973,total,55-59,290*-319*,31.59
1974,total,55-59,290*-319*,30.26
1975,total,55-59,290*-319*,30.93
1976,total,55-59,290*-319*,32.14
1977,total,55-59,290*-319*,29.37
1978,total,55-59,290*-319*,28.51
1979,total,55-59,290*-319*,30.03
1980,total,55-59,290*-319*,26.26
1981,total,55-59,290*-319*,29.96
1982,total,55-59,290*-319*,29.88
1983,total,55-59,290*-319*,34.37
1984,total,55-59,290*-319*,35.61
1985,total,55-59,290*-319*,29.57
1986,total,55-59,290*-319*,32.13
1987,total,55-59,290*-319*,28.09
1988,total,55-59,290*-319*,27.33
1989,total,55-59,290*-319*,28.85
1990,total,55-59,290*-319*,27.84
1991,total,55-59,290*-319*,25.19
1992,total,55-59,290*-319*,22.37
1993,total,55-59,290*-319*,21.44
1994,total,55-59,290*-319*,20.6
1995,total,55-59,290*-319*,20.41
1996,total,55-59,290*-319*,19.12
1997,total,55-59,290*-319*,18.9
1998,total,55-59,290*-319*,22.25
1999,total,55-59,290*-319*,20.01
1925,total,60-64,290*-319*,11.71
1926,total,60-64,290*-319*,12.21
1927,total,60-64,290*-319*,12.45
1928,total,60-64,290*-319*,13.24
1929,total,60-64,290*-319*,12.3
1930,total,60-64,290*-319*,13.85
1931,total,60-64,290*-319*,12.45
1932,total,60-64,290*-319*,10.74
1933,total,60-64,290*-319*,9.58
1934,total,60-64,290*-319*,10.02
1935,total,60-64,290*-319*,11.78
1936,total,60-64,290*-319*,11.07
1937,total,60-64,290*-319*,8.25
1938,total,60-64,290*-319*,8.34
1939,total,60-64,290*-319*,8.71
1940,total,60-64,290*-319*,17.31
1941,total,60-64,290*-319*,20.59
1942,total,60-64,290*-319*,16.83
1943,total,60-64,290*-319*,13.89
1944,total,60-64,290*-319*,12.22
1945,total,60-64,290*-319*,13.52
1946,total,60-64,290*-319*,8.53
1947,total,60-64,290*-319*,10.32
1948,total,60-64,290*-319*,13.79
1949,total,60-64,290*-319*,15.38
1950,total,60-64,290*-319*,18.73
1951,total,60-64,290*-319*,21.52
1952,total,60-64,290*-319*,23.16
1953,total,60-64,290*-319*,30.33
1954,total,60-64,290*-319*,34.57
1955,total,60-64,290*-319*,42.31
1956,total,60-64,290*-319*,52.39
1957,total,60-64,290*-319*,54.11
1958,total,60-64,290*-319*,39.32
1959,total,60-64,290*-319*,45.76
1960,total,60-64,290*-319*,51.45
1961,total,60-64,290*-319*,48.78
1962,total,60-64,290*-319*,54.99
1963,total,60-64,290*-319*,55.66
1964,total,60-64,290*-319*,48.3
1965,total,60-64,290*-319*,57.51
1966,total,60-64,290*-319*,55.44
1967,total,60-64,290*-319*,54.87
1968,total,60-64,290*-319*,50.02
1969,total,60-64,290*-319*,53.37
1970,total,60-64,290*-319*,44.66
1971,total,60-64,290*-319*,46.24
1972,total,60-64,290*-319*,47.97
1973,total,60-64,290*-319*,40.9
1974,total,60-64,290*-319*,39.66
1975,total,60-64,290*-319*,42.63
1976,total,60-64,290*-319*,39.34
1977,total,60-64,290*-319*,36.89
1978,total,60-64,290*-319*,32.4
1979,total,60-64,290*-319*,27.38
1980,total,60-64,290*-319*,34.05
1981,total,60-64,290*-319*,33.65
1982,total,60-64,290*-319*,32.85
1983,total,60-64,290*-319*,32.87
1984,total,60-64,290*-319*,35
1985,total,60-64,290*-319*,31.98
1986,total,60-64,290*-319*,33.66
1987,total,60-64,290*-319*,26.86
1988,total,60-64,290*-319*,31.47
1989,total,60-64,290*-319*,30
1990,total,60-64,290*-319*,30.83
1991,total,60-64,290*-319*,29.73
1992,total,60-64,290*-319*,24.67
1993,total,60-64,290*-319*,26.73
1994,total,60-64,290*-319*,26.56
1995,total,60-64,290*-319*,22.63
1996,total,60-64,290*-319*,21.81
1997,total,60-64,290*-319*,22.29
1998,total,60-64,290*-319*,22.97
1999,total,60-64,290*-319*,22.4
1925,total,65-69,290*-319*,14.44
1926,total,65-69,290*-319*,15.35
1927,total,65-69,290*-319*,15.23
1928,total,65-69,290*-319*,14.62
1929,total,65-69,290*-319*,14.06
1930,total,65-69,290*-319*,14.74
1931,total,65-69,290*-319*,13.63
1932,total,65-69,290*-319*,13.98
1933,total,65-69,290*-319*,13.7
1934,total,65-69,290*-319*,13.3
1935,total,65-69,290*-319*,13.12
1936,total,65-69,290*-319*,13.92
1937,total,65-69,290*-319*,19.64
1938,total,65-69,290*-319*,22.58
1939,total,65-69,290*-319*,22.55
1940,total,65-69,290*-319*,23.98
1941,total,65-69,290*-319*,22.73
1942,total,65-69,290*-319*,17.95
1943,total,65-69,290*-319*,16.81
1944,total,65-69,290*-319*,16.64
1945,total,65-69,290*-319*,15.11
1946,total,65-69,290*-319*,14.01
1947,total,65-69,290*-319*,15.26
1948,total,65-69,290*-319*,17.35
1949,total,65-69,290*-319*,20.5
1950,total,65-69,290*-319*,23.15
1951,total,65-69,290*-319*,27.19
1952,total,65-69,290*-319*,31.35
1953,total,65-69,290*-319*,37.51
1954,total,65-69,290*-319*,42.2
1955,total,65-69,290*-319*,44.67
1956,total,65-69,290*-319*,57.57
1957,total,65-69,290*-319*,59.7
1958,total,65-69,290*-319*,49.61
1959,total,65-69,290*-319*,53.68
1960,total,65-69,290*-319*,56.65
1961,total,65-69,290*-319*,59.5
1962,total,65-69,290*-319*,66.04
1963,total,65-69,290*-319*,62.99
1964,total,65-69,290*-319*,58.74
1965,total,65-69,290*-319*,67.74
1966,total,65-69,290*-319*,74.43
1967,total,65-69,290*-319*,71.5
1968,total,65-69,290*-319*,67.1
1969,total,65-69,290*-319*,67.72
1970,total,65-69,290*-319*,54.59
1971,total,65-69,290*-319*,57.25
1972,total,65-69,290*-319*,57.35
1973,total,65-69,290*-319*,58.01
1974,total,65-69,290*-319*,49.81
1975,total,65-69,290*-319*,55.1
1976,total,65-69,290*-319*,46.88
1977,total,65-69,290*-319*,40.78
1978,total,65-69,290*-319*,39.33
1979,total,65-69,290*-319*,42.37
1980,total,65-69,290*-319*,39.07
1981,total,65-69,290*-319*,42.29
1982,total,65-69,290*-319*,38.31
1983,total,65-69,290*-319*,47.69
1984,total,65-69,290*-319*,36.68
1985,total,65-69,290*-319*,42.12
1986,total,65-69,290*-319*,35.85
1987,total,65-69,290*-319*,31.98
1988,total,65-69,290*-319*,35.22
1989,total,65-69,290*-319*,32.07
1990,total,65-69,290*-319*,31.75
1991,total,65-69,290*-319*,27.12
1992,total,65-69,290*-319*,28.02
1993,total,65-69,290*-319*,26.92
1994,total,65-69,290*-319*,25.73
1995,total,65-69,290*-319*,26.52
1996,total,65-69,290*-319*,28.77
1997,total,65-69,290*-319*,25.63
1998,total,65-69,290*-319*,24.54
1999,total,65-69,290*-319*,29.75
1925,total,70-74,290*-319*,21.2
1926,total,70-74,290*-319*,22.38
1927,total,70-74,290*-319*,22.78
1928,total,70-74,290*-319*,21.7
1929,total,70-74,290*-319*,22.34
1930,total,70-74,290*-319*,25.03
1931,total,70-74,290*-319*,27.39
1932,total,70-74,290*-319*,25.83
1933,total,70-74,290*-319*,24.97
1934,total,70-74,290*-319*,24.03
1935,total,70-74,290*-319*,25.58
1936,total,70-74,290*-319*,25.21
1937,total,70-74,290*-319*,23.04
1938,total,70-74,290*-319*,26.07
1939,total,70-74,290*-319*,25.73
1940,total,70-74,290*-319*,33.03
1941,total,70-74,290*-319*,29.43
1942,total,70-74,290*-319*,28.03
1943,total,70-74,290*-319*,24.97
1944,total,70-74,290*-319*,24.02
1945,total,70-74,290*-319*,21.86
1946,total,70-74,290*-319*,17.4
1947,total,70-74,290*-319*,20.06
1948,total,70-74,290*-319*,22.03
1949,total,70-74,290*-319*,25.52
1950,total,70-74,290*-319*,27.75
1951,total,70-74,290*-319*,29.49
1952,total,70-74,290*-319*,35.7
1953,total,70-74,290*-319*,42.77
1954,total,70-74,290*-319*,48.85
1955,total,70-74,290*-319*,50.57
1956,total,70-74,290*-319*,69.84
1957,total,70-74,290*-319*,77.68
1958,total,70-74,290*-319*,64.59
1959,total,70-74,290*-319*,66.16
1960,total,70-74,290*-319*,68.17
1961,total,70-74,290*-319*,70.48
1962,total,70-74,290*-319*,75.61
1963,total,70-74,290*-319*,78.74
1964,total,70-74,290*-319*,74.66
1965,total,70-74,290*-319*,77.67
1966,total,70-74,290*-319*,78.18
1967,total,70-74,290*-319*,83.46
1968,total,70-74,290*-319*,72.38
1969,total,70-74,290*-319*,76.68
1970,total,70-74,290*-319*,68.18
1971,total,70-74,290*-319*,68.84
1972,total,70-74,290*-319*,74.34
1973,total,70-74,290*-319*,62.16
1974,total,70-74,290*-319*,57.2
1975,total,70-74,290*-319*,66.8
1976,total,70-74,290*-319*,55.95
1977,total,70-74,290*-319*,59.38
1978,total,70-74,290*-319*,57.23
1979,total,70-74,290*-319*,51.24
1980,total,70-74,290*-319*,59.97
1981,total,70-74,290*-319*,65.92
1982,total,70-74,290*-319*,62.61
1983,total,70-74,290*-319*,67.89
1984,total,70-74,290*-319*,67.86
1985,total,70-74,290*-319*,60.78
1986,total,70-74,290*-319*,58.38
1987,total,70-74,290*-319*,48.42
1988,total,70-74,290*-319*,49.67
1989,total,70-74,290*-319*,49.81
1990,total,70-74,290*-319*,45.46
1991,total,70-74,290*-319*,35.11
1992,total,70-74,290*-319*,35.28
1993,total,70-74,290*-319*,34.15
1994,total,70-74,290*-319*,33.53
1995,total,70-74,290*-319*,38.21
1996,total,70-74,290*-319*,35.1
1997,total,70-74,290*-319*,34.51
1998,total,70-74,290*-319*,41.17
1999,total,70-74,290*-319*,39.71
1925,total,75-79,290*-319*,43.3
1926,total,75-79,290*-319*,45.43
1927,total,75-79,290*-319*,48.11
1928,total,75-79,290*-319*,48.5
1929,total,75-79,290*-319*,51.18
1930,total,75-79,290*-319*,37.75
1931,total,75-79,290*-319*,41.57
1932,total,75-79,290*-319*,39.82
1933,total,75-79,290*-319*,37.74
1934,total,75-79,290*-319*,37.31
1935,total,75-79,290*-319*,38.63
1936,total,75-79,290*-319*,37.68
1937,total,75-79,290*-319*,42.74
1938,total,75-79,290*-319*,43
1939,total,75-79,290*-319*,38.93
1940,total,75-79,290*-319*,47.31
1941,total,75-79,290*-319*,44.6
1942,total,75-79,290*-319*,43.28
1943,total,75-79,290*-319*,38.54
1944,total,75-79,290*-319*,36.82
1945,total,75-79,290*-319*,33.68
1946,total,75-79,290*-319*,26.83
1947,total,75-79,290*-319*,30.57
1948,total,75-79,290*-319*,33.21
1949,total,75-79,290*-319*,39.42
1950,total,75-79,290*-319*,42.03
1951,total,75-79,290*-319*,46.21
1952,total,75-79,290*-319*,46.75
